company_name,country,patents
"SAMSUNG DISPLAY CO., LTD.",KR,174536
International Business Machines Corporation,US,164083
CANON KABUSHIKI KAISHA,JP,91331
SONY GROUP CORPORATION,JP,62911
Fujitsu Limited,JP,56343
Kabushiki Kaisha Toshiba,JP,53607
Intel Corporation,US,53219
General Electric Company,US,52043
LG ELECTRONICS INC.,KR,50000
"HITACHI, LTD.",JP,46073
MITSUBISHI ELECTRIC CORPORATION,JP,45743
QUALCOMM Incorporated,US,41723
"Taiwan Semiconductor Manufacturing Company, Ltd.",TW,40871
TOYOTA JIDOSHA KABUSHIKI KAISHA,JP,39414
Apple Inc.,US,39060
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",JP,38360
"Micron Technology, Inc.",US,38112
NEC CORPORATION,JP,36209
SEIKO EPSON CORPORATION,JP,33863
"HONDA MOTOR CO., LTD.",JP,32298
